compound,best_pvalue,best_combined_score,n_entries,databases,nrf2_status,nrf2_confidence,is_pains,pains_category,auc_class,rank,neg_log10_p
ljp006 mcf10a 24h-azd-8055-012,4.39301694648997e-07,107.625879075729,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,929,6.357237121398261
ljp008 hcc515 24h-dasatinib-333,4.39301694648997e-07,107.625879075729,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,930,6.357237121398261
ljp006 skbr3 24h-a443654-004,4.39301694648997e-07,107.625879075729,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,931,6.357237121398261
ljp006 lncap 3h-zstk-474-037,4.39301694648997e-07,107.625879075729,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,932,6.357237121398261
troxipide-1200 mgkg in cmc-rat-heart-5d-up,4.40749325794706e-07,56.1860449789381,2,DrugMatrix,unknown,,False,,putative_negative,933,6.355808343359582
ljp006 hcc515 24h-cgp-60474-111,4.43032940400872e-07,63.8150442784783,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,934,6.353563981897736
ljp007 hcc515 24h-alw-ii-49-7-10,4.44029842999804e-07,141.679478291791,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,935,6.352587840212881
ljp007 hcc515 24h-pazopanib-10,4.44029842999804e-07,141.679478291791,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,936,6.352587840212881
ljp006 mcf10a 3h-osi-027-333,4.44029842999804e-07,141.679478291791,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,937,6.352587840212881
ljp009 hcc515 24h-pd-0325901-004,4.44029842999804e-07,141.679478291791,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,938,6.352587840212881
ljp005 skbr3 3h-dovitinib-333,4.44029842999804e-07,141.679478291791,1,LINCS_L1000_Chem_Pert_up,unknown,,False,,putative_negative,939,6.352587840212881
ljp006 mcf10a 24h-wye-125132-004,4.45406881184358e-07,81.212483349124,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,940,6.3512430777435815
ljp005 skbr3 24h-tg-101348-10,4.50782934912813e-07,87.8385598290711,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,941,6.346032533205965
ljp009 ht29 24h-pd-0325901-012,4.53377038323629e-07,75.4509071771179,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,942,6.343540478876159
ljp006 bt20 24h-wye-125132-037,4.70696354997834e-07,95.607112137077,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,943,6.327259164791885
ljp005 skbr3 3h-cp466722-10,4.70696354997834e-07,95.607112137077,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,944,6.327259164791885
ljp006 mdamb231 3h-xmd11-85h-10,4.80141061298624e-07,120.087903686851,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,945,6.318631151908628
benzethonium chloride-30 mgkg in corn oil-rat-liver-5d-up,4.81828076506333e-07,53.5708465880779,2,DrugMatrix,unknown,,False,,putative_negative,946,6.3171078969144645
ljp005 bt20 24h-nvp-auy922-037,4.87013043914314e-07,167.323621457872,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,947,6.312459406702931
ljp006 mdamb231 3h-pd-0325901-004,4.87013043914314e-07,167.323621457872,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,948,6.312459406702931
ljp005 skbr3 24h-tws-119-333,4.87013043914314e-07,167.323621457872,1,LINCS_L1000_Chem_Pert_down,unknown,,False,,putative_negative,949,6.312459406702931
ljp005 bt20 3h-foretinib-10,5.02140517303282e-07,286.645499500017,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,950,6.299174734349021
ljp006 skbr3 24h-radicicol-037,5.06245136563342e-07,86.2095652555201,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,951,6.295639135972533
ljp005 hcc515 24h-nvp-auy922-012,5.06245136563342e-07,86.2095652555201,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,952,6.295639135972533
ljp005 skbr3 24h-geldanamycin-004,5.07555430559877e-07,104.9440337838,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,953,6.2945165211552245
2-butanone boss,5.19080879525677e-07,62.4043037042322,2,DSigDB,unknown,,False,,putative_negative,954,6.284764968172636
pyrrolidine dithiocarbamate,5.19339055641528e-07,69.4326495597824,2,DSigDB,unknown,,False,,putative_negative,955,6.284549016107414
ljp006 bt20 24h-pd-0325901-004,5.20268596293446e-07,208.296848470344,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,956,6.283772387573254
ljp005 hcc515 24h-gsk-690693-10,5.20268596293446e-07,208.296848470344,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,957,6.283772387573254
ljp006 mcf10a 3h-nvp-tae684-333,5.20268596293446e-07,208.296848470344,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,958,6.283772387573254
ljp007 hcc515 24h-vandetanib-333,5.37581273727328e-07,136.491401788665,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,959,6.269555868039304
ljp006 mdamb231 3h-geldanamycin-10,5.37581273727328e-07,136.491401788665,1,LINCS_L1000_Chem_Pert_up,unknown,,False,,putative_negative,960,6.269555868039304
ljp006 mcf10a 3h-wye-125132-012,5.37581273727328e-07,136.491401788665,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,961,6.269555868039304
ljp005 bt20 24h-nvp-auy922-012,5.37581273727328e-07,136.491401788665,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,962,6.269555868039304
ljp007 ht29 24h-pd-0325901-111,5.50529936345023e-07,73.2587006011735,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,963,6.259219060278133
ljp005 hcc515 24h-cgp-60474-111,5.50529936345023e-07,73.2587006011735,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,964,6.259219060278133
dl-mevalonic acid,5.65076803477225e-07,116.538543583228,2,DSigDB,unknown,,False,,putative_negative,965,6.247892520216896
ljp005 mdamb231 24h-vemurafenib-10,5.65076803477225e-07,116.538543583228,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,966,6.247892520216896
ljp006 hcc515 24h-mitoxantrone-333,5.67888700553461e-07,68.5177619461836,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,967,6.245736772514112
isoproterenol,5.8506874113136e-07,102.358725942554,1,DSigDB,unknown,,False,,putative_negative,968,6.232793104618405
ljp006 skbr3 3h-pha-793887-10,5.8506874113136e-07,102.358725942554,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,969,6.232793104618405
ljp009 ht29 24h-chelerythrine chloride-10,6.06791082199838e-07,91.6115122927485,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,970,6.2169608105152685
ljp006 bt20 24h-geldanamycin-333,6.06791082199838e-07,91.6115122927485,2,"LINCS_L1000_Chem_Pert_down,LINCS_L1000_Chem_Pert_up",unknown,,False,,putative_negative,971,6.2169608105152685
