gene,rna_log2fc,prot_log2fc,residual
RNH1,1.17433922816119,-0.3014042086566384,-0.4202843316959793
ACO1,-0.298075001502738,-0.5131804439036394,-0.4198944595743248
LAMA4,-0.155814157557775,-0.4917387999236631,-0.418951754603972
ACTB,1.13143885739734,0.5312436841555552,0.41854524863747367
THTPA,-0.076475173718588,-0.4795581893856298,-0.4182034183706953
SEC11A,0.210235836809085,0.3972178036936729,0.4172592283568309
PALLD,0.083350599715095,-0.453372292619612,-0.41504746217673305
PTBP1,0.959949808655781,0.5016863419292328,0.413698455382248
TIGAR,-0.374303678679221,-0.5175783364988682,-0.4133082545015437
UBE3A,-0.516016005137315,-0.5376015001558585,-0.4129115172467963
MYL6,0.995825888694287,0.5060236817333674,0.41286626605791615
PGK1,0.445619622895489,-0.3989283544957871,-0.4128043293154141
FARSA,0.83373963685894,-0.3421878358978532,-0.4119895895475915
TGM2,1.70875866890747,-0.21583923108730474,-0.4117260076626902
EMC2,-0.430840355520824,0.29872484205179894,0.41114152193400016
PLCG1,-0.494581769713052,-0.5303833341216571,-0.40878189667946885
DDRGK1,0.664992435642744,-0.363260498218132,-0.408746786769732
BDH1,0.327393894250417,0.4052553717449463,0.4084150191925484
MIF,0.657177041229107,-0.3625657338285855,-0.40692587066493713
ADH5,-0.164405447559603,-0.4806742608429744,-0.40664926188208605
GPX1,0.495139793637907,0.427058536007376,0.40604699997747185
AKR1B1,-0.105126976642358,-0.4711990056113535,-0.4057156807065143
ALOX5,-0.637487710531504,0.2631417806174827,0.4053351116806846
ENO3,0.084624113900107,-0.4431272472034351,-0.4049859225579529
AGPAT2,-0.188674433342049,0.32693863218081276,0.40446064722556635
NSFL1C,0.799355731034523,-0.33914885141933127,-0.40399608934385683
MPI,-0.0340221173428612,-0.4591093658240126,-0.40387182699529245
ADSL,-0.0480649591656472,-0.4610636716172074,-0.40380264304904456
CTNNA3,-0.206023066497565,-0.48371845306664696,-0.4036966034708427
PLCD1,0.789649057643378,-0.3386889540797,-0.40213751827002225
LRPAP1,0.16926399240829,0.3757326709053963,0.40167789394478637
PURA,-0.317004971214188,-0.49723624676381917,-0.40122256671860435
CAV3,1.67804114940104,-0.20947225506407108,-0.4009328203122354
LDHB,0.0525686119361254,-0.44337068963273296,-0.4006103583691209
MYH9,1.5512806684355,0.5716920751617778,0.39849693907940986
TXNRD1,2.24903632886996,-0.12457317870866902,-0.39831074326418087
PGM1,-0.203258743691503,-0.47775650698015326,-0.39813297981118834
PKM,0.405216758520648,-0.38911485404429413,-0.39716901711539554
GALT,-0.134734470631274,-0.4665918617102438,-0.39684227353382306
PRUNE2,-0.773706173056663,0.23490288726462794,0.39672448621838297
MYL12B,0.133954960299056,0.3640693852947692,0.3951024292385259
PRKCSH,0.219452072120282,0.37623298572319364,0.39494640585394736
