gene,log2FC_GSE57338,p_GSE57338,log2FC_GSE193997,padj_GSE193997,same_direction
GDNF,-0.017862727142987644,0.3418079883867228,5.27956965721027,2.09186276857525e-05,False
A4GALT,-0.29456801362695284,2.6103939130551505e-14,0.733626086596935,0.0204146639633318,False
SNX17,-0.054517496658316844,0.019711760153416427,0.434657253345004,0.001073217637172,False
CENPA,0.39106526980130507,8.649545803842681e-16,0.726901968173031,3.1165549381276e-05,True
CHEK2,-0.08430558662259058,2.7445192829037628e-05,-1.18267504845568,0.00405882630361486,True
PNKP,-0.0893826418741277,2.6429734621481753e-06,0.48455398451065,0.0237673178456943,False
CPED1,0.43650765312932016,2.068644979349614e-27,-0.514127148248992,0.00437494324102752,False
MEN1,-0.14804917006331042,2.249627030190169e-11,0.424972294468151,0.0222752783836957,False
PCDH17,0.016854479404453393,0.6462414193542638,-0.959610694654213,0.00122993261935599,False
EIF3G,-0.0060217493682710455,0.7346752136456729,1.0840197894795,4.08585671672008e-11,False
DDX60,0.5163290861879783,7.4780488833782355e-31,-1.8684552844373,6.03830388751519e-10,False
TBC1D10A,-0.07912241486444849,0.0024511526691089053,0.66451274487761,0.0029693031779694,False
KAZALD1,0.24476511497154352,7.600795661229088e-17,-1.64318648927424,0.00472511621402444,False
ORMDL1,-0.10079809792464278,2.2441621013710603e-05,-0.946506701901769,0.000452549387514611,True
PI4KB,-0.025464857860086454,0.16975274482277802,0.49281889613891,0.00459275616240359,False
DPP4,-0.19869815728364948,0.0011713772541618722,-1.81389538681693,9.10538207806035e-07,True
SH3KBP1,-0.015413971358007927,0.3995849061433456,-1.28200373341595,2.54129741357462e-13,True
TSPAN14,-0.3487886961409945,1.4805518794099903e-31,1.05415078040699,3.64562637646284e-08,False
EBF1,0.026777973391243215,0.5967842629482334,-0.701718584378475,0.00028819991061955,False
FRMD5,0.035923320927467195,0.36147737967773363,-0.977497183016094,3.15275900043813e-10,False
KCTD1,0.0008487122454718943,0.9839658063668525,-0.817284648713037,0.00259451070257197,False
RUNX2,0.2639343041038549,9.121588794372633e-11,1.49460314819969,0.00614689049910429,True
NINJ1,-0.08857232497943635,0.008577137734596566,1.33649250088229,1.75654102328359e-16,False
ACSL5,-0.14250729225776837,1.4892554601213001e-05,0.718284704524454,8.14939913362711e-05,False
TAOK2,-0.08026834298820162,7.787011182511747e-07,0.496062635884967,8.43457047052059e-06,False
PITPNC1,-0.4420752472549436,4.659626158144491e-22,-1.04147672913021,2.58001652304603e-21,True
DZIP3,0.5531211202028912,4.1002390467267105e-33,-1.15234279435252,3.42156352376535e-06,False
VMAC,0.03088262229120975,0.1804160473039926,-1.01132016151126,0.00352731968069833,False
GSS,0.07163742968855935,0.0036875655818830086,1.403500324643,9.97873265949205e-13,True
MID1IP1,-0.6171363482229566,1.4961108857859913e-27,2.19253429519034,2.513048037038e-05,False
AHSG,-0.030035103238243543,0.0665381143175131,2.66911182600918,2.82686040564465e-14,False
PTPN21,0.2969749695920143,9.272755775072864e-19,0.97704189459241,9.40101694145561e-14,True
CHMP4B,-0.1974064817522425,3.615859954025462e-16,0.883159361597093,6.68764238482384e-15,False
ALG14,-0.05799874389194937,0.04119879096552309,-0.850026426982374,0.000353468860537872,True
SLC10A6,0.18030948053759577,1.7150710882469305e-05,1.42199156907972,4.64308416177372e-06,True
SRP72,-0.14160392185647197,2.2618571678589346e-07,0.307000645356096,0.0236811340747901,False
FZD8,-0.19387274460032344,2.901396473627363e-06,0.879597411358241,0.00126548438432726,False
NBEAL2,-0.2737362992249919,3.004276524038635e-16,0.323942698949384,0.041866425567485,False
EXOC4,0.08588704965515959,1.3708378407836422e-06,-0.792782807840031,3.81737397105918e-09,False
GTF3C4,-0.02244811517231593,0.28705665446696355,0.449987716743125,0.00562893676158459,False
