gene,rna_log2fc,prot_log2fc,residual,studentized_residual,mean_sham,mean_ir
F13A1,0.764081794158066,0.522673163628383,0.46290868959452813,1.2243324239372184,16.778280298555547,17.30095346218393
BLVRB,0.515722874035841,0.4868341563326055,0.4628567211978805,1.2241949743829845,17.680770422654025,18.16760457898663
GPT,-0.0785690741173522,-0.5210581308830093,-0.45940164131097777,-1.2150567438249589,17.74342412954284,17.222365998659832
IQGAP1,0.749021693541781,0.5165290201963337,0.45893461682599507,1.2138215256651146,16.74017608265963,17.256705102855964
MGST1,-0.41048555005898,0.3488339189662959,0.4583175928002797,1.2121895785057444,17.207466303287763,17.55630022225406
NPEPL1,0.350336667582099,-0.45792203671347664,-0.4580683060465996,-1.2115302479244672,17.26896142631922,16.811039389605742
EHHADH,-2.10066834112015,0.10483849184463168,0.457867423729257,1.2109989406925081,16.125250001543225,16.230088493387857
RRAS2,2.00254926545516,-0.21803787963465737,-0.45625812867673154,-1.2067425675528842,16.401489752052083,16.183451872417425
PDCD5,0.682721366190591,-0.40759632597617923,-0.45563724766454566,-1.2051004191730559,16.91004339965361,16.50244707367743
HDAC2,-0.449765864516903,0.34036105860322685,0.4555047914388521,1.2047500899277548,14.924884748906601,15.265245807509828
EIF2S2,0.37653917381067,-0.45108203388040735,-0.45500392806000284,-1.2034253723571577,15.838713967093971,15.387631933213564
FKBP1A,0.545166268796155,-0.4267490424142153,-0.45496909510055167,-1.2033332437740563,19.728654132732093,19.301905090317877
GSTA4,-0.209568136017893,-0.5354508929660113,-0.4549182199990889,-1.203198685841375,18.544669019209525,18.009218126243514
PPM1A,0.116262508879394,-0.4878244065952515,-0.45424198593949744,-1.201410135952511,16.977451505577744,16.489627098982492
DYNC1LI2,-0.326617567730183,0.35560805364066184,0.4530068515035506,1.198143368290025,14.820219679732217,15.175827733372879
NAE1,-0.483683385813505,-0.573021224896026,-0.452990179563607,-1.198099273207989,16.52054916428848,15.947527939392453
PPA1,0.353059602525167,-0.45218549308312816,-0.4527241210989166,-1.1973955836633647,18.134090341140368,17.68190484805724
HINT1,0.50623028922349,-0.4293760784470777,-0.45198568873473977,-1.195442527463149,20.032956009193587,19.60357993074651
RCN2,-0.0137225839254785,0.398295848374131,0.45060834552653634,1.1917996363561139,14.413851777117927,14.812147625492058
SCRN2,0.216744151196127,-0.469524990729866,-0.4504213753470117,-1.1913051248936009,16.610702698054734,16.141177707324868
ARPC1B,1.45103915842746,0.6088597881820874,0.4501088557393544,1.190478551754293,16.70101369235275,17.309873480534836
TSG101,-0.363545702441142,-0.5519553017948233,-0.4492353800007989,-1.1881683236417624,15.44901970423056,14.897064402435737
PSMA4,-0.0514865584532992,-0.506859621570257,-0.44910556095499,-1.1878249693893987,16.23441438517471,15.727554763604452
